External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000084,,,11-01-2025,S T Sound System-Mum,STSoundSystem,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000085,,,11-01-2025,Shiv Shakti Enterprises-Mum,ShivShaktiEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000086,,,11-01-2025,Videowaves-Mum,Videowaves,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000087,,,11-01-2025,Vinit Video Vision-Mum,VinitVideoVision,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000088,,,11-01-2025,Emblaze Events (Sunita Harihar Sharma)-Mum,EmblazeEvents(SunitaHariharSharma),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000089,,,11-01-2025,Noaman Digital Partnership Firm-Mum,NoamanDigitalPartnershipFirm,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
C/2025/PO/000015,,,13-01-2025,Atat Events And Entertainment Pvt Ltd-Che,AtatEventsAndEntertainmentPvtLtd,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
A/2025/PO/Gen/0004,,,13-01-2025,Genesis Infoserve Pvt Ltd-Mum,GenesisInfoservePvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000105,,,13-01-2025,Nikhita Vora Advance A/c-CR,NikhitaVoraAdvanceA/c,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000090,,,13-01-2025,6Th Wall Production Pvt Ltd-Blr,6ThWallProductionPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000091,,,13-01-2025,Specs Care Audio Visual Pvt Ltd-Mum,SpecsCareAudioVisualPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000092,,,13-01-2025,Sajan Power-Mum,SajanPower,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
